GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
CZ-Wind Onshore,2035,1522152,30291,.
CZ-Wind Onshore,2045,1411671,29051,.
CZ-Wind Onshore_EP,2022,1632639,31868,.
DE-Battery,2025,0,49595,539985.75
DE-Battery,2035,0,38929,429425.25
DE-Battery,2045,0,36169,400818.25
DE-Battery_EP,2022,0,49595,539985.75
DE-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
DE-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
DE-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
DE-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
DE-Hydro Run of river and poundage_EP,2025,3241336,92000,.
DE-Hydro Run of river and poundage_EP,2035,3241336,92000,.
DE-Hydro Run of river and poundage_EP,2045,3241336,92000,.
DE-Hydro Run of river and poundage_EP,2022,3241336,92000,.
DE-Hydro Water Reservoir_EP,2025,3241336,92000,.
DE-Hydro Water Reservoir_EP,2035,3241336,92000,.
DE-Hydro Water Reservoir_EP,2045,3241336,92000,.
DE-Hydro Water Reservoir_EP,2022,3241336,92000,.
DE-Solar,2025,1540628,21503,.
DE-Solar,2035,1189247,17962,.
DE-Solar,2045,993296,15997,.
DE-Solar_EP,2022,1540628,21503,.
DE-Wind Offshore,2025,7597684,89150,.
DE-Wind Offshore,2035,4060629,83585,.
DE-Wind Offshore,2045,3869643,78997,.
DE-Wind Offshore_EP,2022,7597684,89150,.
DE-Wind Onshore,2025,1632639,31868,.
DE-Wind Onshore,2035,1522152,30291,.
DE-Wind Onshore,2045,1411671,29051,.
DE-Wind Onshore_EP,2022,1632639,31868,.
DK-Battery,2025,0,49595,539985.75
DK-Battery,2035,0,38929,429425.25
DK-Battery,2045,0,36169,400818.25
DK-Battery_EP,2022,0,49595,539985.75
DK-Hydro Run of river and poundage_EP,2025,3241336,92000,.
DK-Hydro Run of river and poundage_EP,2035,3241336,92000,.
DK-Hydro Run of river and poundage_EP,2045,3241336,92000,.
DK-Hydro Run of river and poundage_EP,2022,3241336,92000,.
DK-Solar,2025,1540628,21503,.
DK-Solar,2035,1189247,17962,.
DK-Solar,2045,993296,15997,.
DK-Solar_EP,2022,1540628,21503,.
DK-Wind Offshore,2025,7597684,89150,.
DK-Wind Offshore,2035,4060629,83585,.
DK-Wind Offshore,2045,3869643,78997,.
DK-Wind Offshore_EP,2022,7597684,89150,.
DK-Wind Onshore,2025,1632639,31868,.
DK-Wind Onshore,2035,1522152,30291,.
DK-Wind Onshore,2045,1411671,29051,.
DK-Wind Onshore_EP,2022,1632639,31868,.
EE-Battery,2025,0,49595,539985.75
EE-Battery,2035,0,38929,429425.25
EE-Battery,2045,0,36169,400818.25
EE-Battery_EP,2022,0,49595,539985.75
EE-Hydro Run of river and poundage_EP,2025,3241336,92000,.
EE-Hydro Run of river and poundage_EP,2035,3241336,92000,.
EE-Hydro Run of river and poundage_EP,2045,3241336,92000,.
EE-Hydro Run of river and poundage_EP,2022,3241336,92000,.
EE-Solar,2025,1540628,21503,.
EE-Solar,2035,1189247,17962,.
EE-Solar,2045,993296,15997,.
EE-Solar_EP,2022,1540628,21503,.
EE-Wind Onshore,2025,1632639,31868,.
EE-Wind Onshore,2035,1522152,30291,.
EE-Wind Onshore,2045,1411671,29051,.
EE-Wind Onshore_EP,2022,1632639,31868,.
ES-Battery,2025,0,49595,539985.75
ES-Battery,2035,0,38929,429425.25
ES-Battery,2045,0,36169,400818.25
ES-Battery_EP,2022,0,49595,539985.75
ES-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
ES-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
ES-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
ES-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
ES-Hydro Run of river and poundage_EP,2025,3241336,92000,.
ES-Hydro Run of river and poundage_EP,2035,3241336,92000,.
ES-Hydro Run of river and poundage_EP,2045,3241336,92000,.
ES-Hydro Run of river and poundage_EP,2022,3241336,92000,.
ES-Hydro Water Reservoir_EP,2025,3241336,92000,.
ES-Hydro Water Reservoir_EP,2035,3241336,92000,.
ES-Hydro Water Reservoir_EP,2045,3241336,92000,.
ES-Hydro Water Reservoir_EP,2022,3241336,92000,.
ES-Solar,2025,1540628,21503,.
ES-Solar,2035,1189247,17962,.
ES-Solar,2045,993296,15997,.
ES-Solar_EP,2022,1540628,21503,.
ES-Wind Onshore,2025,1632639,31868,.
ES-Wind Onshore,2035,1522152,30291,.
ES-Wind Onshore,2045,1411671,29051,.
ES-Wind Onshore_EP,2022,1632639,31868,.
FR-Battery,2025,0,49595,539985.75
FR-Battery,2035,0,38929,429425.25
FR-Battery,2045,0,36169,400818.25
FR-Battery_EP,2022,0,49595,539985.75
FR-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
FR-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
FR-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
FR-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
FR-Hydro Run of river and poundage_EP,2025,3241336,92000,.
FR-Hydro Run of river and poundage_EP,2035,3241336,92000,.
FR-Hydro Run of river and poundage_EP,2045,3241336,92000,.
FR-Hydro Run of river and poundage_EP,2022,3241336,92000,.
FR-Hydro Water Reservoir_EP,2025,3241336,92000,.
FR-Hydro Water Reservoir_EP,2035,3241336,92000,.
FR-Hydro Water Reservoir_EP,2045,3241336,92000,.
FR-Hydro Water Reservoir_EP,2022,3241336,92000,.
FR-Solar,2025,1540628,21503,.
FR-Solar,2035,1189247,17962,.
FR-Solar,2045,993296,15997,.
FR-Solar_EP,2022,1540628,21503,.
FR-Wind Offshore,2025,7597684,89150,.
FR-Wind Offshore,2035,4060629,83585,.
FR-Wind Offshore,2045,3869643,78997,.
FR-Wind Offshore_EP,2022,7597684,89150,.
FR-Wind Onshore,2025,1632639,31868,.
FR-Wind Onshore,2035,1522152,30291,.
FR-Wind Onshore,2045,1411671,29051,.
FR-Wind Onshore_EP,2022,1632639,31868,.
GB-Battery,2025,0,49595,539985.75
GB-Battery,2035,0,38929,429425.25
GB-Battery,2045,0,36169,400818.25
GB-Battery_EP,2022,0,49595,539985.75
GB-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
GB-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
GB-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
GB-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
GB-Hydro Water Reservoir_EP,2025,3241336,92000,.
GB-Hydro Water Reservoir_EP,2035,3241336,92000,.
GB-Hydro Water Reservoir_EP,2045,3241336,92000,.
GB-Hydro Water Reservoir_EP,2022,3241336,92000,.
GB-Solar,2025,1540628,21503,.
GB-Solar,2035,1189247,17962,.
GB-Solar,2045,993296,15997,.
GB-Solar_EP,2022,1540628,21503,.
GB-Wind Offshore,2025,7597684,89150,.
GB-Wind Offshore,2035,4060629,83585,.
GB-Wind Offshore,2045,3869643,78997,.
GB-Wind Offshore_EP,2022,7597684,89150,.
GB-Wind Onshore,2025,1632639,31868,.
GB-Wind Onshore,2035,1522152,30291,.
GB-Wind Onshore,2045,1411671,29051,.
GB-Wind Onshore_EP,2022,1632639,31868,.
HR-Battery,2025,0,49595,539985.75
HR-Battery,2035,0,38929,429425.25
HR-Battery,2045,0,36169,400818.25
HR-Battery_EP,2022,0,49595,539985.75
HR-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
HR-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
HR-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
HR-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
HR-Hydro Run of river and poundage_EP,2025,3241336,92000,.
HR-Hydro Run of river and poundage_EP,2035,3241336,92000,.
HR-Hydro Run of river and poundage_EP,2045,3241336,92000,.
HR-Hydro Run of river and poundage_EP,2022,3241336,92000,.
HR-Hydro Water Reservoir_EP,2025,3241336,92000,.
HR-Hydro Water Reservoir_EP,2035,3241336,92000,.
HR-Hydro Water Reservoir_EP,2045,3241336,92000,.
HR-Hydro Water Reservoir_EP,2022,3241336,92000,.
HR-Solar,2025,1540628,21503,.
HR-Solar,2035,1189247,17962,.
HR-Solar,2045,993296,15997,.
HR-Solar_EP,2022,1540628,21503,.
HR-Wind Onshore,2025,1632639,31868,.
HR-Wind Onshore,2035,1522152,30291,.
HR-Wind Onshore,2045,1411671,29051,.
HR-Wind Onshore_EP,2022,1632639,31868,.
HU-Battery,2025,0,49595,539985.75
HU-Battery,2035,0,38929,429425.25
HU-Battery,2045,0,36169,400818.25
HU-Battery_EP,2022,0,49595,539985.75
HU-Hydro Run of river and poundage_EP,2025,3241336,92000,.
HU-Hydro Run of river and poundage_EP,2035,3241336,92000,.
HU-Hydro Run of river and poundage_EP,2045,3241336,92000,.
HU-Hydro Run of river and poundage_EP,2022,3241336,92000,.
HU-Hydro Water Reservoir_EP,2025,3241336,92000,.
HU-Hydro Water Reservoir_EP,2035,3241336,92000,.
HU-Hydro Water Reservoir_EP,2045,3241336,92000,.
HU-Hydro Water Reservoir_EP,2022,3241336,92000,.
HU-Solar,2025,1540628,21503,.
HU-Solar,2035,1189247,17962,.
HU-Solar,2045,993296,15997,.
HU-Solar_EP,2022,1540628,21503,.
HU-Wind Onshore,2025,1632639,31868,.
HU-Wind Onshore,2035,1522152,30291,.
HU-Wind Onshore,2045,1411671,29051,.
HU-Wind Onshore_EP,2022,1632639,31868,.
IT-Battery,2025,0,49595,539985.75
IT-Battery,2035,0,38929,429425.25
IT-Battery,2045,0,36169,400818.25
IT-Battery_EP,2022,0,49595,539985.75
IT-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
IT-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
IT-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
IT-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
IT-Hydro Run of river and poundage_EP,2025,3241336,92000,.
IT-Hydro Run of river and poundage_EP,2035,3241336,92000,.
IT-Hydro Run of river and poundage_EP,2045,3241336,92000,.
IT-Hydro Run of river and poundage_EP,2022,3241336,92000,.
IT-Hydro Water Reservoir_EP,2025,3241336,92000,.
IT-Hydro Water Reservoir_EP,2035,3241336,92000,.
IT-Hydro Water Reservoir_EP,2045,3241336,92000,.
IT-Hydro Water Reservoir_EP,2022,3241336,92000,.
IT-Solar,2025,1540628,21503,.
IT-Solar,2035,1189247,17962,.
IT-Solar,2045,993296,15997,.
IT-Solar_EP,2022,1540628,21503,.
IT-Wind Offshore,2025,7597684,89150,.
IT-Wind Offshore,2035,4060629,83585,.
IT-Wind Offshore,2045,3869643,78997,.
IT-Wind Offshore_EP,2022,7597684,89150,.
IT-Wind Onshore,2025,1632639,31868,.
IT-Wind Onshore,2035,1522152,30291,.
IT-Wind Onshore,2045,1411671,29051,.
IT-Wind Onshore_EP,2022,1632639,31868,.
LT-Battery,2025,0,49595,539985.75
LT-Battery,2035,0,38929,429425.25
LT-Battery,2045,0,36169,400818.25
LT-Battery_EP,2022,0,49595,539985.75
LT-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
LT-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
LT-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
LT-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
LT-Hydro Run of river and poundage_EP,2025,3241336,92000,.
LT-Hydro Run of river and poundage_EP,2035,3241336,92000,.
LT-Hydro Run of river and poundage_EP,2045,3241336,92000,.
LT-Hydro Run of river and poundage_EP,2022,3241336,92000,.
LT-Solar,2025,1540628,21503,.
LT-Solar,2035,1189247,17962,.
LT-Solar,2045,993296,15997,.
LT-Solar_EP,2022,1540628,21503,.
LT-Wind Onshore,2025,1632639,31868,.
LT-Wind Onshore,2035,1522152,30291,.
LT-Wind Onshore,2045,1411671,29051,.
LT-Wind Onshore_EP,2022,1632639,31868,.
LU-Battery,2025,0,49595,539985.75
LU-Battery,2035,0,38929,429425.25
LU-Battery,2045,0,36169,400818.25
LU-Battery_EP,2022,0,49595,539985.75
LU-Hydro Run of river and poundage_EP,2025,3241336,92000,.
LU-Hydro Run of river and poundage_EP,2035,3241336,92000,.
LU-Hydro Run of river and poundage_EP,2045,3241336,92000,.
LU-Hydro Run of river and poundage_EP,2022,3241336,92000,.
LU-Hydro Water Reservoir_EP,2025,3241336,92000,.
LU-Hydro Water Reservoir_EP,2035,3241336,92000,.
LU-Hydro Water Reservoir_EP,2045,3241336,92000,.
LU-Hydro Water Reservoir_EP,2022,3241336,92000,.
LU-Solar,2025,1540628,21503,.
LU-Solar,2035,1189247,17962,.
LU-Solar,2045,993296,15997,.
LU-Solar_EP,2022,1540628,21503,.
LU-Wind Onshore,2025,1632639,31868,.
LU-Wind Onshore,2035,1522152,30291,.
LU-Wind Onshore,2045,1411671,29051,.
LU-Wind Onshore_EP,2022,1632639,31868,.
LV-Battery,2025,0,49595,539985.75
LV-Battery,2035,0,38929,429425.25
LV-Battery,2045,0,36169,400818.25
LV-Battery_EP,2022,0,49595,539985.75
LV-Hydro Run of river and poundage_EP,2025,3241336,92000,.
LV-Hydro Run of river and poundage_EP,2035,3241336,92000,.
LV-Hydro Run of river and poundage_EP,2045,3241336,92000,.
LV-Hydro Run of river and poundage_EP,2022,3241336,92000,.
LV-Solar,2025,1540628,21503,.
LV-Solar,2035,1189247,17962,.
LV-Solar,2045,993296,15997,.
LV-Solar_EP,2022,1540628,21503,.
LV-Wind Onshore,2025,1632639,31868,.
LV-Wind Onshore,2035,1522152,30291,.
LV-Wind Onshore,2045,1411671,29051,.
LV-Wind Onshore_EP,2022,1632639,31868,.
ME-Battery,2025,0,49595,539985.75
ME-Battery,2035,0,38929,429425.25
ME-Battery,2045,0,36169,400818.25
ME-Battery_EP,2022,0,49595,539985.75
ME-Hydro Run of river and poundage_EP,2025,3241336,92000,.
ME-Hydro Run of river and poundage_EP,2035,3241336,92000,.
ME-Hydro Run of river and poundage_EP,2045,3241336,92000,.
ME-Hydro Run of river and poundage_EP,2022,3241336,92000,.
ME-Hydro Water Reservoir_EP,2025,3241336,92000,.
ME-Hydro Water Reservoir_EP,2035,3241336,92000,.
ME-Hydro Water Reservoir_EP,2045,3241336,92000,.
ME-Hydro Water Reservoir_EP,2022,3241336,92000,.
ME-Solar,2025,1540628,21503,.
ME-Solar,2035,1189247,17962,.
ME-Solar,2045,993296,15997,.
ME-Wind Onshore,2025,1632639,31868,.
ME-Wind Onshore,2035,1522152,30291,.
ME-Wind Onshore,2045,1411671,29051,.
ME-Wind Onshore_EP,2022,1632639,31868,.
NL-Battery,2025,0,49595,539985.75
NL-Battery,2035,0,38929,429425.25
NL-Battery,2045,0,36169,400818.25
NL-Battery_EP,2022,0,49595,539985.75
NL-Hydro Run of river and poundage_EP,2025,3241336,92000,.
NL-Hydro Run of river and poundage_EP,2035,3241336,92000,.
NL-Hydro Run of river and poundage_EP,2045,3241336,92000,.
NL-Hydro Run of river and poundage_EP,2022,3241336,92000,.
NL-Solar,2025,1540628,21503,.
NL-Solar,2035,1189247,17962,.
NL-Solar,2045,993296,15997,.
NL-Solar_EP,2022,1540628,21503,.
NL-Wind Offshore,2025,7597684,89150,.
NL-Wind Offshore,2035,4060629,83585,.
NL-Wind Offshore,2045,3869643,78997,.
NL-Wind Offshore_EP,2022,7597684,89150,.
NL-Wind Onshore,2025,1632639,31868,.
NL-Wind Onshore,2035,1522152,30291,.
NL-Wind Onshore,2045,1411671,29051,.
NL-Wind Onshore_EP,2022,1632639,31868,.
NO-Battery,2025,0,49595,539985.75
NO-Battery,2035,0,38929,429425.25
NO-Battery,2045,0,36169,400818.25
NO-Battery_EP,2022,0,49595,539985.75
NO-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
NO-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
NO-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
NO-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
NO-Hydro Run of river and poundage_EP,2025,3241336,92000,.
NO-Hydro Run of river and poundage_EP,2035,3241336,92000,.
NO-Hydro Run of river and poundage_EP,2045,3241336,92000,.
NO-Hydro Run of river and poundage_EP,2022,3241336,92000,.
NO-Hydro Water Reservoir_EP,2025,3241336,92000,.
NO-Hydro Water Reservoir_EP,2035,3241336,92000,.
NO-Hydro Water Reservoir_EP,2045,3241336,92000,.
NO-Hydro Water Reservoir_EP,2022,3241336,92000,.
NO-Solar,2025,1540628,21503,.
NO-Solar,2035,1189247,17962,.
NO-Solar,2045,993296,15997,.
NO-Wind Onshore,2025,1632639,31868,.
NO-Wind Onshore,2035,1522152,30291,.
NO-Wind Onshore,2045,1411671,29051,.
NO-Wind Onshore_EP,2022,1632639,31868,.
PL-Battery,2025,0,49595,539985.75
PL-Battery,2035,0,38929,429425.25
PL-Battery,2045,0,36169,400818.25
PL-Battery_EP,2022,0,49595,539985.75
PL-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
PL-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
PL-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
PL-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
PL-Hydro Run of river and poundage_EP,2025,3241336,92000,.
PL-Hydro Run of river and poundage_EP,2035,3241336,92000,.
PL-Hydro Run of river and poundage_EP,2045,3241336,92000,.
PL-Hydro Run of river and poundage_EP,2022,3241336,92000,.
PL-Hydro Water Reservoir_EP,2025,3241336,92000,.
PL-Hydro Water Reservoir_EP,2035,3241336,92000,.
PL-Hydro Water Reservoir_EP,2045,3241336,92000,.
PL-Hydro Water Reservoir_EP,2022,3241336,92000,.
PL-Solar,2025,1540628,21503,.
PL-Solar,2035,1189247,17962,.
PL-Solar,2045,993296,15997,.
PL-Solar_EP,2022,1540628,21503,.
PL-Wind Onshore,2025,1632639,31868,.
PL-Wind Onshore,2035,1522152,30291,.
PL-Wind Onshore,2045,1411671,29051,.
PL-Wind Onshore_EP,2022,1632639,31868,.
PT-Battery,2025,0,49595,539985.75
PT-Battery,2035,0,38929,429425.25
PT-Battery,2045,0,36169,400818.25
PT-Battery_EP,2022,0,49595,539985.75
PT-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
PT-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
PT-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
PT-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
PT-Hydro Run of river and poundage_EP,2025,3241336,92000,.
PT-Hydro Run of river and poundage_EP,2035,3241336,92000,.
PT-Hydro Run of river and poundage_EP,2045,3241336,92000,.
PT-Hydro Run of river and poundage_EP,2022,3241336,92000,.
PT-Hydro Water Reservoir_EP,2025,3241336,92000,.
PT-Hydro Water Reservoir_EP,2035,3241336,92000,.
PT-Hydro Water Reservoir_EP,2045,3241336,92000,.
PT-Hydro Water Reservoir_EP,2022,3241336,92000,.
PT-Solar,2025,1540628,21503,.
PT-Solar,2035,1189247,17962,.
PT-Solar,2045,993296,15997,.
PT-Solar_EP,2022,1540628,21503,.
PT-Wind Offshore,2025,7597684,89150,.
PT-Wind Offshore,2035,4060629,83585,.
PT-Wind Offshore,2045,3869643,78997,.
PT-Wind Offshore_EP,2022,7597684,89150,.
PT-Wind Onshore,2025,1632639,31868,.
PT-Wind Onshore,2035,1522152,30291,.
PT-Wind Onshore,2045,1411671,29051,.
PT-Wind Onshore_EP,2022,1632639,31868,.
RO-Battery,2025,0,49595,539985.75
RO-Battery,2035,0,38929,429425.25
RO-Battery,2045,0,36169,400818.25
RO-Battery_EP,2022,0,49595,539985.75
RO-Hydro Run of river and poundage_EP,2025,3241336,92000,.
RO-Hydro Run of river and poundage_EP,2035,3241336,92000,.
RO-Hydro Run of river and poundage_EP,2045,3241336,92000,.
RO-Hydro Run of river and poundage_EP,2022,3241336,92000,.
RO-Hydro Water Reservoir_EP,2025,3241336,92000,.
RO-Hydro Water Reservoir_EP,2035,3241336,92000,.
RO-Hydro Water Reservoir_EP,2045,3241336,92000,.
RO-Hydro Water Reservoir_EP,2022,3241336,92000,.
RO-Solar,2025,1540628,21503,.
RO-Solar,2035,1189247,17962,.
RO-Solar,2045,993296,15997,.
RO-Solar_EP,2022,1540628,21503,.
RO-Wind Onshore,2025,1632639,31868,.
RO-Wind Onshore,2035,1522152,30291,.
RO-Wind Onshore,2045,1411671,29051,.
RO-Wind Onshore_EP,2022,1632639,31868,.
SE-Battery,2025,0,49595,539985.75
SE-Battery,2035,0,38929,429425.25
SE-Battery,2045,0,36169,400818.25
SE-Battery_EP,2022,0,49595,539985.75
SE-Hydro Water Reservoir_EP,2025,3241336,92000,.
SE-Hydro Water Reservoir_EP,2035,3241336,92000,.
SE-Hydro Water Reservoir_EP,2045,3241336,92000,.
SE-Hydro Water Reservoir_EP,2022,3241336,92000,.
SE-Solar,2025,1540628,21503,.
SE-Solar,2035,1189247,17962,.
SE-Solar,2045,993296,15997,.
SE-Wind Onshore,2025,1632639,31868,.
SE-Wind Onshore,2035,1522152,30291,.
SE-Wind Onshore,2045,1411671,29051,.
SE-Wind Onshore_EP,2022,1632639,31868,.
SI-Battery,2025,0,49595,539985.75
SI-Battery,2035,0,38929,429425.25
SI-Battery,2045,0,36169,400818.25
SI-Battery_EP,2022,0,49595,539985.75
SI-Hydro Pumped Storage_EP,2025,0,20150,244774.5806
SI-Hydro Pumped Storage_EP,2035,0,20150,244774.5806
SI-Hydro Pumped Storage_EP,2045,0,20150,244774.5806
SI-Hydro Pumped Storage_EP,2022,0,20150,244774.5806
SI-Hydro Run of river and poundage_EP,2025,3241336,92000,.
SI-Hydro Run of river and poundage_EP,2035,3241336,92000,.
SI-Hydro Run of river and poundage_EP,2045,3241336,92000,.
SI-Hydro Run of river and poundage_EP,2022,3241336,92000,.
SI-Solar,2025,1540628,21503,.
SI-Solar,2035,1189247,17962,.
SI-Solar,2045,993296,15997,.
SI-Solar_EP,2022,1540628,21503,.
SI-Wind Onshore,2025,1632639,31868,.
SI-Wind Onshore,2035,1522152,30291,.
SI-Wind Onshore,2045,1411671,29051,.
SI-Wind Onshore_EP,2022,1632639,31868,.
AT-Coal-SUBCRITICAL,2025,1000000,35000,.
AT-Coal-SUBCRITICAL,2035,1000000,35000,.
AT-Coal-SUBCRITICAL,2045,1000000,35000,.
AT-Coal-SUBCRITICAL_EP,2022,1000000,35000,.
AT-Coal-SUPERCRITICAL,2025,1200000,50000,.
AT-Coal-SUPERCRITICAL,2035,1200000,50000,.
AT-Coal-SUPERCRITICAL,2045,1200000,50000,.
AT-Coal-SUPERCRITICAL_EP,2022,1200000,50000,.
AT-Coal-ULTRASUPERCRITICAL,2025,1400000,55000,.
AT-Coal-ULTRASUPERCRITICAL,2035,1400000,55000,.
AT-Coal-ULTRASUPERCRITICAL,2045,1400000,55000,.
